AmaCatID	AmaPath	WowCatID_candidate	WowPath	score	decision_reason	comment
2926	Books/Children's Books/Literature & Fiction/Historical Fiction	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.543	needs_review_l2map	
2928	Books/Children's Books/Literature & Fiction/Historical Fiction/Ancient Civilizations	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.501	needs_review_l2map	
2929	Books/Children's Books/Literature & Fiction/Historical Fiction/Europe	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.512	needs_review_l2map	
2930	Books/Children's Books/Literature & Fiction/Historical Fiction/Exploration & Discoveries	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.496	needs_review_l2map	
2934	Books/Children's Books/Literature & Fiction/Historical Fiction/Medieval	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.523	needs_review_l2map	
2935	Books/Children's Books/Literature & Fiction/Historical Fiction/Military & Wars	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.491	needs_review_l2map	
2937	Books/Children's Books/Literature & Fiction/Historical Fiction/Renaissance	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.497	needs_review_l2map	
2939	Books/Children's Books/Education & Reference/History/Holocaust	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.535	needs_review_l2map	
2940	Books/Children's Books/Education & Reference/History/Medieval	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.557	needs_review_l2map	
2941	Books/Children's Books/Education & Reference/History/Mexico	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.546	needs_review_l2map	
2942	Books/Children's Books/Education & Reference/History/Middle East	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.528	needs_review_l2map	
2943	Books/Children's Books/Education & Reference/History/Military & Wars	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.522	needs_review_l2map	
